"name","title"
"smail_mioune|smail_mimoune","MIN"
"sakina_messadi","MIN"
"said_barkat","MIN"
"rachid_harraoubia","MIN"
"rachid_benaissa|rachid_benaisa","MIN"
"nourredine_yazid_zerhouni|noureddine_yazid_zerhouni","MIN"
"nourredine_salah","MIN"
"noureddine_taleb","MIN"
"noureddine_moussa","MIN"
"noureddine_boukrouh","MIN"
"noura_saadia_djaafar|nouara_saadia_djaafar","MIN"
"nacer_mehal","MIN"
"mustapha_benbada|mustapha_bedbada","MIN"
"moussa_benhamadi","MIN"
"mourad_redjimi","MIN"
"mourad_medelci","MIN"
"mourad_benmehidi","GOV"
"mohammed_charfi","MIN"
"mohammed_bedjaoui","MIN"
"mohamed_terbeche","MIN"
"mohamed_seghir_kara","MIN"
"mohamed_nadir_hamimid","MIN"
"mohamed_maghlaoui","MIN"
"mohamed_lekasassi","GOV"
"mohamed_cherif_abbas","MIN"
"mohamed_benmeradi","MIN"
"mohamed_bedjaoui","MIN"
"mahmoud_khoudri|mahmoud_khedri","MIN"
"leila_hammou_boutleis","MIN"
"lakhdar_dorbani","MIN"
"khalida_toumi","MIN"
"karim_younes","GOV"
"karim_djoudi","MIN"
"idriss_jazairy","AMB"
"hamid_bessalah","MIN"
"hachemi_djiar","MIN"
"fatma_zohra_bouchemla","MIN"
"fatiha_mentouri","MIN"
"el_hadi_khaldi|el_hadi_khalidi","MIN"
"el_hachemi_djiar","MIN"
"el_hachemi_djaaboub","MIN"
"djamel_ould_abbas|djamal_ould_abbas","MIN"
"daho_ould_kablia","MIN"
"cherif_rahmani","MIN"
"chekib_khalil|chakib_khelil","MIN"
"boutheina_cheriet","MIN"
"bouguerra_soltani|boudjerra_soltani","MIN"
"boudjemaa_haichour","MIN"
"boubekeur_benbouzid","MIN"
"bouabdellah_ghlamallah","MIN"
"amine_kherbi","AMB"
"amer_tou|amar_tou","MIN"
"amar_ghoul","MIN"
"ahmed_ouyahia","MIN"
"ahmed_noui","GOV"
"abderrachid_boukerzaza","MIN"
"abdelmalek_sellal","MIN"
"abdelmalek_guenaizia","MIN"
"abdelmadjid_attar","MIN"
"abdelkar_sallat","MIN"
"abdelkader_messahel","MIN"
"abdelkader_bensalah","GOV"
"abdelhamid_temmar","MIN"
"abdelhamid_aberkane","MIN"
"abdelhamid_abad","MIN"
"abdelaziz_ziari","MIN"
"abdelaziz_belkhadem","MIN"
"abdelatif_benachenhou","MIN"
"abdallah_khanafou","MIN"
"abdallah_bali|abdallah_baali","AMB"
"xavier_montane_atero","MIN"
"xavier_jordana","MIN"
"xavier_espot_miro","MIN"
"victor_naudi_zamora","MIN"
"vicenc_alay_ferrer","MIN"
"susanna_vela_palomares","MIN"
"roser_bastida","MIN"
"pere_torres","MIN"
"pere_lopez_agras","MIN"
"pere_cervos_cardona","MIN"
"olga_adellach_coma","MIN"
"narcis_casal_fonsdeviela","GOV"
"montserrat_gil","MIN"
"monica_codina_tort","MIN"
"mireia_maestre_cortadella","MIN"
"miquel_alvarez_marfany","MIN"
"meritxell_mateu","MIN"
"marc_forne_molne","GOV"
"manel_pons","MIN"
"juli_minoves_triquell","MIN"
"juli_minoves_itriquell","MIN"
"juli_minoves","MIN"
"julia_vila_coma","GOV"
"josep_maria_cabanes","MIN"
"jordi_visent_guitart","MIN"
"jordi_serra_malleu","MIN"
"joel_font","MIN"
"jelena_v_pia_comella","GOV"
"jelena_pia_comella","GOV"
"jaume_bartumeu_cassany","GOV"
"ferran_mirapeix","MIN"
"enric_pujal_areny","MIN"
"cristina_rodriguez_galan","MIN"
"carles_font","MIN"
"bishop_joan_marti_alanis","GOV"
"bishop_joan_enric_vives_sicilia","GOV"
"bishop_joan_enric_vives_isicilia","GOV"
"antoni_riberaygua","MIN"
"antoni_puigdellivol","MIN"
"albert_pintat","GOV"
"virgilio_ fontes_pereira","MIN"
"victorino_domingos_hossi","MIN"
"sebastiao_sapuile_velsos","MIN"
"sebastiao_jose_antonio_martins","MIN"
"salamao_xirimbimbi","MIN"
"rosa_maria_martins_da_cruz_esilva","MIN"
"roberto_leal_monteiro_ngongo","MIN"
"pedro_mutindi","MIN"
"pedro_jose_van_dunem","MIN"
"pedro_henrick_vaal_neto|pedro_hendrick_vaal_neto","MIN"
"paulo_tjipilica","MIN"
"paulo_kassoma","MIN"
"oswaldo_de_jesus_serra_van_dunem","MIN"
"maria_idalina_de_oliveira_valente","MIN"
"maria_filomena_de_fatima_lobao_telo","GOV"
"maria_de_fatima_monteiro_jardim","MIN"
"maria_de_candida_pereira_teixeira","MIN"
"manuel_paulo_da_cunha_neto","GOV"
"manuel_nunes_junior","MIN"
"manuel_jose_nunes","MIN"
"manuel_helder_dias_kopelipa","MIN"
"manuel_helder_dias|manuel_helder_vieira_dias_kopelipa","MIN"
"manuel_aragao","MIN"
"manuel_antonio_rabelais","MIN"
"manuel_antonio_africano","MIN"
"makenda_ambroise","MIN"
"luis_filipe_da_silva","MIN"
"licinio_tavares_ribeiro","MIN"
"kundi_paihama","MIN"
"julio_bessa","MIN"
"jose_vieira_dias_van_dunem","MIN"
"jose_pedro_de_morais","MIN"
"jose_mateus_de_adelino_peixoto","MIN"
"jose_maria_de_vasconselhos","MIN"
"jose_maria_botelho_de_vasconcelos","MIN"
"jose_marcos_barrica","MIN"
"jose_goncalves_martins_patricio","GOV"
"jose_de_lima_massano","GOV"
"jose_da_costa_esilva_leitao","MIN"
"jose_carvalho_da_costa","MIN"
"jose_botelho_de_vasconcelos","MIN"
"josefina_perpetua_pitra_diakidi|josefina_perpetua_pitra_diakite","AMB"
"jorge_alicerces_valentim","MIN"
"joaquim_ekuma_muafumua","MIN"
"joaquim_duarte_da_costa_david","MIN"
"joao_kussumua","MIN"
"joao_bernardo_de_miranda","MIN"
"joao_baptista_nganda_gina|joao_baptista_ngandagina","MIN"
"joao_baptista_kussumua","MIN"
"ismael_abraao_gaspar_martins|ismael_abraao_gaspar_martines","GOV"
"ismael_abraao_gaspar_martines","GOV"
"guilhermina_da_costa_patra","MIN"
"goncalves_manuel_muandumba","MIN"
"gilberto_lutucuta|gilberto_lutukuta","MIN"
"georges_rebelo_chicoti|georges_rebelo_chikoti","MIN"
"genoveva_da_conceicao_lino","MIN"
"frederico_manuel_dos_santos_esilva_cardoso","MIN"
"francisco_higino_carneiro|francisco_higino_lopes_carneiro","MIN"
"francisca_de_fatima_do_espirito_santo_de","MIN"
"fernando_faustino_muteka","MIN"
"nando_da_piedade_dias_dos_santos","MIN"
"emanuela_afonso_vieira_lopes","MIN"
"eduardo_leopoldo_severim_de_morais|eduardo_leopoldo_severino_de_morais","MIN"
"eduardo_jonatao_chingunji","MIN"
"diakunpuna_sita_jose","MIN"
"diakumpuna_sadisio_sita_jose","MIN"
"desiderio_da_costa","MIN"
"da_piedade_dias_dos_santos_nando","MIN"
"carlos_alberto_lopes","MIN"
"candido_pereira_dos_santos_van_dunem","MIN"
"candida_celeste_da_silva","MIN"
"boaventura_cardoso","MIN"
"augusto_da_silva_tomas","MIN"
"assuncao_afonso_sousa_dos_anjos","MIN"
"antonio_pitra_neto","MIN"
"antonio_henriques_da_silva","MIN"
"antonio_domingos_pitra_costa_neto","MIN"
"antonio_burity_da_silva","MIN"
"antonio_bento_bembe","MIN"
"ansuncao_afonso_dos_anjos","MIN"
"andre_luis_brandao","MIN"
"ana_dias_lourenco","MIN"
"ana_afonso_dias_lourenco","MIN"
"amadeu_de_jesus_castelhano_mauricio|amadeu_mauricio","GOV"
"albertina_julia_hamakwaya|albertina_julia_hamukuya","MIN"
"aguinaldo_jaime","GOV"
"afonso_pedro_canga","MIN"
"adao_pereira_do_nascimento","GOV"
"abraao_pio_dos_santos_gourgel","MIN"
"alan_huckle","GOV"
"mark_capes","GOV"
"arthur_christopher_watson","GOV"
"wilmoth_daniel","MIN"
"vere_bird","MIN"
"trevor_walker","MIN"
"steadroy_benjamin","MIN"
"rodney_williams","MIN"
"robin_yearwood","MIN"
"patrick_lewis","GOV"
"molwyn_joseph","MIN"
"louise_agnetha_lake_tack","GOV"
"lionel_hurst","AMB"
"lester_bird","MIN"
"justin_simon","GOV"
"john_w_ashe","GOV"
"john_st_luce","MIN"
"john_herbert_maginley|john_maginley","MIN"
"james_b_carlisle","GOV"
"jacqui_quinn_leandro","MIN"
"hilson_baptiste","MIN"
"harold_lovell","MIN"
"guy_yearwood","MIN"
"gertel_thom","GOV"
"gaston_browne","MIN"
"eroll_cort|errol_cort","MIN"
"deborah_mae_lovell","AMB"
"colin_derrick","MIN"
"charlesworth_samuel","MIN"
"bertrand_joseph","MIN"
"bernard_walker","MIN"
"baldwin_spencer","MIN"
"aziz_fares","MIN"
"asot_michael","MIN"
"ruud_rosingh","GOV"
"rudy_croes","MIN"
"ramon_lee","MIN"
"olindo_koolman","GOV"
"nilo_swaen","MIN"
"nelson_oduber","MIN"
"michiel_godfried_eman","MIN"
"marisol_tromp","MIN"
"fredis_refunjol","MIN"
"eddy_briesen","MIN"
"booshi_wever","MIN"
"a_r_caram","GOV"
"wilson_tuckey","MIN"
"william_richard_shorten","MIN"
"wayne_swan","GOV"
"warren_truss","MIN"
"warren_snowdon","MIN"
"tony_burke","MIN"
"tanya_plibersek","MIN"
"stephen_michael_conroy","MIN"
"stephen_francis_smith","MIN"
"stephen_conroy","MIN"
"simon_crean","MIN"
"sharman_stone","MIN"
"santo_santoro","MIN"
"rod_kemp","MIN"
"robert_mcclelland","GOV"
"robert_m_hill","MIN"
"richard_alston","MIN"
"quentin_bryce","GOV"
"philip_ruddock","MIN"
"philip_michael_jeffery","GOV"
"peter_mcgauran","MIN"
"peter_hollingworth","GOV"
"peter_garrett","MIN"
"peter_dutton","MIN"
"peter_costello","GOV"
"penny_wong|penny_yingyen_wong","MIN"
"nigel_scullion","MIN"
"nicola_roxon","MIN"
"nick_sherry","MIN"
"nick_minchin","MIN"
"nicholas_minchin","MIN"
"nicholas_john_sherry","MIN"
"michael_thawley","AMB"
"michael_jeffery","GOV"
"martin_ferguson","MIN"
"mark_victor_arbib","MIN"
"mark_vaile","MIN"
"mark_christopher_butler","MIN"
"maria_justine_elliot","MIN"
"mal_brough","MIN"
"malcolm_turnbull","MIN"
"lindsay_tanner","MIN"
"larry_anthony","MIN"
"kim_christian_beazley","AMB"
"kim_carr","MIN"
"kevin_rudd","MIN"
"kevin_andrews","MIN"
"kay_patterson","MIN"
"katherine_margaret_ellis","MIN"
"kate_ellis","MIN"
"justine_elliott","MIN"
"julie_bishop","MIN"
"julia_gillard","MIN"
"julia_eileen_gillard","MIN"
"joseph_william_ludwig","MIN"
"john_faulkner|john_philip_faulkner","MIN"
"john_dauth","GOV"
"john_anderson","MIN"
"joe_ludwig","MIN"
"joe_hockey","MIN"
"joel_fitzgibbon","MIN"
"joel_andrew_fitzgibbon","MIN"
"jim_lloyd","MIN"
"jenny_macklin|jennifer_louise_macklin","MIN"
"jason_dean_clare","MIN"
"ian_mcdonald","MIN"
"ian_j_macfarlane","GOV"
"ian_e_macfarlane","MIN"
"ian_campbell","MIN"
"helen_coonan","MIN"
"greg_ivan_combet|gregory_ivan_combet","MIN"
"glenn_stevens","GOV"
"george_brandis","MIN"
"gary_nairn","MIN"
"gary_hardgrave","MIN"
"gary_gray","MIN"
"gary_francis_quinlan","GOV"
"fran_bailey","MIN"
"eric_abetz","MIN"
"de_anne_kelly","MIN"
"dennis_richardson","AMB"
"david_kemp","MIN"
"daryl_williams","MIN"
"danna_vale","MIN"
"craig_emerson|craig_anthony_emerson","MIN"
"chris_eyles_bowen|chris_eyles_guy_bowen","MIN"
"chris_evans","MIN"
"christopher_vaughan_evans","MIN"
"christopher_pyne","MIN"
"christopher_ellison|chris_ellison","MIN"
"bruce_billson","MIN"
"brendan_oconnor|brendan_patrick_john_oconnor","MIN"
"brendan_nelson","MIN"
"anthony_stephen_burke","MIN"
"anthony_albanese|anthony_norman_albanese","MIN"
"anthony_abbot|tony_abbot","MIN"
"andrew_robb","MIN"
"amanda_vanstone","MIN"
"alexander_downer","MIN"
"alan_griffin","MIN"
"ziya_mammadov","MIN"
"yavar_jamalov","MIN"
"yashar_aliyev","AMB"
"yaqub_eyyubov|yagub_eyyubov","MIN"
"vilayat_quliyev","MIN"
"shahin_mustafayev","MIN"
"samir_sharifov","MIN"
"safar_abiyev","MIN"
"ramil_usubov","MIN"
"polad_bulbuloglu","MIN"
"oqtay_shiraliyev","MIN"
"natiq_aliyev","MIN"
"namiq_abbasov","MIN"
"nadir_akhmadov","MIN"
"murtuz_alasgarov","GOV"
"mimardanov","MIN"
"macid_karimov","MIN"
"kemmalladin_heydarov","MIN"
"ismat_abbasov","MIN"
"irshad_aliyev","MIN"
"huseyngulu_bagirov","MIN"
"heydar_babayev","MIN"
"hafiz_pashayev","AMB"
"fizuli_alekperov","MIN"
"fikret_mamedov","MIN"
"fazil_mamedov","MIN"
"farhad_aliyev","MIN"
"elmar_mammedyarov|elmar_mammadyarov","MIN"
"elman_rustamov","GOV"
"eldar_mahmudov","MIN"
"elchin_efendiyev","MIN"
"azad_rahimov","MIN"
"avaz_alakbarov","MIN"
"ali_nagiyev","MIN"
"ali_insanov","MIN"
"ali_hasanov","MIN"
"ali_abbasov","MIN"
"agshin_mehdiyev","GOV"
"abulfaz_garayev|abulfaz_harayev","MIN"
"abid_sharifov","MIN"
"abbas_abbasov","MIN"
"wendy_craigg","GOV"
"vincent_vanderpool_wallace","MIN"
"vincent_peet","MIN"
"v_alfred_grey|v_alfred_gray","MIN"
"theodore_brent_symonette|brent_symonette","MIN"
"sidney_collie","MIN"
"shane_gibson","MIN"
"perry_christie","MIN"
"paulette_a_bethel","GOV"
"tommy_turnquest","MIN"
"orville_turnquest","MIN"
"obie_wilchcombe","MIN"
"neville_wisdom","MIN"
"neko_grant","MIN"
"michael_barnett","GOV"
"melanie_griffin","MIN"
"marcus_bethel","MIN"
"leslie_miller","MIN"
"larry_cartwright|lawrence_cartwright","MIN"
"kenneth_russell","MIN"
"julian_w_francis","GOV"
"joshua_sears","AMB"
"john_delaney","MIN"
"james_smith","MIN"
"ivy_dumont","GOV"
"hubert_minnis","MIN"
"hubert_ingraham","MIN"
"glenys_hanna_martin","MIN"
"fred_mitchell","MIN"
"earl_deveaux","MIN"
"dion_foulkes","MIN"
"desmond_bannister","MIN"
"dame_ivy_dumont","GOV"
"cynthia_pratt","MIN"
"cornelius_smith","AMB"
"claire_hepburn","GOV"
"charles_maynard","MIN"
"carl_bethel","MIN"
"byran_woodside","MIN"
"bradley_roberts","MIN"
"bernard_nottage|b_j_nottage","MIN"
"arthur_foulkes","GOV"
"arthur_dion_hanna","GOV"
"anthony_rolle","GOV"
"allyson_maynard_gibson","MIN"
"alfred_sears","MIN"
"john_warburton_paul","GOV"
"tawfiq_ahmad_al_mansur|tawfiq_ahmad_al_mansoor","GOV"
"rashid_al_maraj|rashid_bin_muhammad_al_maraj","GOV"
"rashid_abdallah_ahmad_al_khalifa|rashid_bin_abdallah_bin_ahmad_al_khalifa","MIN"
"nizar_al_baharna","MIN"
"nada_bint_abbas_hafadh","MIN"
"nada_abbas_hafadh","MIN"
"nabin_muhammad_al_balushi","AMB"
"nabil_yaqub_al_hamir","MIN"
"muhammad_bin_mubarak_al_khalifa","MIN"
"muhammad_bin_khalifa_bin_khalifa|muhammad_bin_khalifa_bin_hamad_al_khalifa","MIN"
"muhammad_bin_ibrahim_al_mutawa","MIN"
"muhammad_bin_ali_al_sitri","MIN"
"muhammad_bin_abd_al_ghaffar_bin_abdallah","MIN"
"muhammad_bin_abdallah_al_khalifa","MIN"
"muhammad_ali_al_sitri","MIN"
"muhammad_abd_al_ghaffar","MIN"
"mansur_bin_rajab","MIN"
"majid_bin_muhsin_al_alawi","MIN"
"majid_ali_al_nuaymi|majid_bin_ali_al_nuaymi","MIN"
"mai_bint_muhammad_al_khalifa","MIN"
"khalil_ibrahim_al_hasan","MIN"
"khalifa_bin_salman_al_khalifa","MIN"
"khalifa_bin_ali_bin_rashid_al_khalifa","AMB"
"khalifa_bin_ali_bin_rashid","GOV"
"khalifa_bin_ahmad_al_khalifa","MIN"
"khalifa_bin_abdallah_al_khalifa","GOV"
"khalid_bin_ali_al_khalifa","MIN"
"khalid_bin_ahmad_bin_salman_al_khalifa","MIN"
"khalid_bin_ahmad_al_khalifa|khalid_bin_ahmad_bin_muhammad_al_khalifa","MIN"
"khalid_bin_abdallah_al_khalifa","MIN"
"juma_al_kaabi|juma_bin_ahmad_al_kaabi","MIN"
"jihad_bukamal","MIN"
"jawad_bin_salim_al_araidh","MIN"
"jawad_al_araidh","MIN"
"jasim_bin_muhammad_bu_alai","GOV"
"issa_bin_ali_al_khalifa|isa_bin_ali_bin_hamad_al_khalifa","MIN"
"issam_bin_abdallah_khalaf","MIN"
"ibrahim_bin_khalifa_bin_ali_al_khalifa","MIN"
"houda_ibrahim_ezra_nunu|houda_ezra_ibrahim_nunu","AMB"
"hasan_abdallah_al_fakhru|hasan_bin_abdallah_al_fakhru","MIN"
"hamad_bin_isa_al_khalifa","GOV"
"faysal_bin_yaqoub_al_hammer","MIN"
"faysal_al_hammer","MIN"
"fatima_bint_ahmad_al_balushi","MIN"
"fahmi_ali_al_jawdar|fahmi_bin_ali_al_jawdar","MIN"
"daijbin_khalifa_al_khalifa","MIN"
"ali_salih_abdallah_al_salih","MIN"
"ali_bin_salih_bin_abdallah_al_salih","MIN"
"ali_bin_khalifa_bin_salman_al_khalifa","MIN"
"ali_bin_khalifa_al_khalifa","MIN"
"ali_bin_isa_bin_salman_al_khalifa","MIN"
"ali_bin_fadhil_al_buaynayn","GOV"
"ahmed_bin_atiyatallah_al_khalifa","MIN"
"ahmad_bin_muhammad_bin_hamad_bin_khalifa","GOV"
"ahmad_bin_muhammad_bin_hamad_bin_abdallah_al_khalifa","MIN"
"ahmad_bin_muhammad_bin_hamad_bin_abdallah","MIN"
"ahmad_bin_attiyah_al_khalifa|ahmad_bin_atiyatallah_al_khalifa","MIN"
"abd_al_rahman_bin_jabir_al_khalifa","GOV"
"abd_al_nabi_al_shuala","MIN"
"abd_al_husayn mirza","MIN"
"abd_al_aziz_muhammad_al_fadhil","MIN"
"abd_al_aziz_bin_muhammad_al_fadhil","MIN"
"abd_al_aziz_bin_atiyattalah_al_khalifa|abd_al_aziz_bin_atiyatallah_al_khalifa","GOV"
"abd_al_aziz_atiyattalah_al_khalifa|abd_al_aziz_atiy_attalah_al_khalifa","GOV"
"abdallah_hasan_al_saif","MIN"
"abdallah_bin_salman_al_khalifa","MIN"
"abdallah_bin_khalid_al_khalifa","MIN"
"ukil_abdus_sattar_bhuiyan","MIN"
"tariqul_islam","MIN"
"tappan_chowdhury","GOV"
"syed_hasan_ahmad","AMB"
"syed_ashraful_islam","MIN"
"syed_abul_hossain","MIN"
"sheikh_hasina_wajed","MIN"
"shamsher_mobin_chowdhury","AMB"
"shahjahan_siraj","MIN"
"shafique_ahmed","MIN"
"salehuddin_ahmed","GOV"
"sajjadul_karim","GOV"
"sahara_khatun","MIN"
"sadeq_hossain_khoka","MIN"
"rezaul_karim_hira","MIN"
"raziuddin_ahmed_raju","MIN"
"rasheda_k_chowdhury","GOV"
"ramesh_chandra_sen","MIN"
"raja_roy","GOV"
"osman_faruk","MIN"
"osman_farruk","MIN"
"nurul_islam_nahid","MIN"
"nazmul_huda","MIN"
"moudud_ahmed","MIN"
"motiur_rahman","GOV"
